id,calories,carbs,fat
918,310,,15
919,530,,28
920,790,,39
921,720,,38
922,270,,9
923,750,,34
924,360,,18
925,380,,18
926,470,,20
927,500,,22
928,10,,0
929,540,,15
930,210,,6
931,570,,37
932,120,,5
933,200,,8
934,250,,13
935,210,,9
936,50,,3
937,450,,21
938,300,,19
939,460,,26
940,650,,36
941,380,,13
942,760,,35
943,690,,34
944,290,,16
945,590,,44
946,900,,47
947,1040,,60
948,930,,50
949,940,,59
950,290,,13
951,780,,44
952,920,,57
953,810,,46
954,630,,29
955,470,,14
956,930,,58
957,800,,27
958,830,,30
959,570,,43
960,910,,54
961,880,,53
962,490,,23
963,770,,35
964,700,,34
965,160,30.0,4
966,200,27.0,9
967,334,17.0,20
968,581,68.0,19
969,208,14.0,7
970,523,55.0,30
971,526,58.0,16
972,500,53.0,15
973,570,54.0,18
974,522,58.0,15
975,213,12.0,7
976,470,54.0,17
977,58,9.0,2
978,198,10.0,7
979,208,10.0,10
980,585,53.0,25
981,200,10.0,12
982,226,25.0,12
983,634,50.0,55
984,521,57.0,18
985,521,56.0,18
986,517,57.0,15
987,471,56.0,14
988,527,57.0,18
989,449,62.0,15
990,453,41.0,25
991,474,8.0,35
992,604,54.0,29
993,640,54.0,30
994,620,55.0,25
995,470,53.0,11
996,160,2.0,12
997,560,54.0,23
998,598,57.0,32
999,358,13.0,24
1000,520,13.0,25
1001,5,0.0,0
1002,780,131.0,24
1003,260,40.0,12
1004,220,22.0,6
1005,410,37.0,12
1006,410,50.0,12
1007,180,11.0,6
1008,290,36.0,4
1009,370,41.0,14
1010,310,22.0,23
1011,440,47.0,20
1012,20,6.0,0
1013,360,58.0,13
1014,230,61.0,0
1015,450,50.0,20
1016,360,17.0,17
1017,460,26.0,22
1018,450,43.0,20
1019,460,47.0,15
1020,350,9.0,22
1021,490,55.0,19
1022,430,38.0,17
1023,230,26.0,5
1024,490,49.0,20
1025,600,90.0,23
1026,25,7.0,0
1027,430,63.0,17
1028,360,19.0,31
1029,570,81.0,26
1030,490,41.0,22
1031,70,17.0,0
1032,390,53.0,18
1033,270,25.0,18
1034,140,19.0,4
1035,130,32.0,0
1036,0,0.0,0
1037,290,50.0,7
1038,45,12.0,0
1039,280,44.0,11
1040,400,17.0,18
1041,310,41.0,14
1042,80,3.0,8
1043,510,40.0,29
1044,680,43.0,47
1045,70,5.0,4
1046,240,18.0,9
1047,410,48.0,12
1048,480,44.0,20
1049,570,46.0,27
1050,610,93.0,23
1051,550,75.0,23
1052,390,47.0,21
1053,230,44.0,3
1054,240,47.0,4
1055,290,53.0,6
1056,110,7.0,6
1057,220,15.0,12
1058,290,48.0,7
1059,80,2.0,4
1060,150,4.0,8
1061,1570,138.0,90
1062,80,4.0,7
1063,50,12.0,0
1064,390,27.0,14
1065,970,80.0,58
1066,2120,163.0,133
1067,200,25.0,2
1068,100,18.0,1
1069,990,48.0,68
1070,1490,94.0,88
1071,1020,125.0,51
1072,230,16.0,15
1073,110,8.0,7
1074,1290,195.0,61
1075,1410,143.0,68
1076,1500,124.0,76
1077,870,71.0,44
1078,1480,125.0,81
1079,740,73.0,38
1080,1490,147.0,76
1081,610,65.0,25
1082,620,66.0,31
1083,70,1.0,6
1084,80,0.0,7
1085,80,0.0,6
1086,80,1.0,6
1087,710,68.0,42
1088,200,21.0,7
1089,100,11.0,4
1090,650,26.0,44
1091,1260,120.0,60
1092,1350,129.0,68
1093,400,23.0,25
1094,400,23.0,25
1095,200,11.0,13
1096,360,24.0,10
1097,360,17.0,20
1098,180,9.0,10
1099,1250,163.0,64
1100,280,48.0,11
1101,1440,81.0,97
1102,980,55.0,67
1103,1720,86.0,108
1104,1170,59.0,74
1105,1670,83.0,103
1106,1140,57.0,71
1107,1010,59.0,60
1108,360,7.0,18
1109,1340,138.0,64
1110,690,69.0,34
1111,710,22.0,52
1112,240,15.0,20
1113,1270,120.0,71
1114,1210,125.0,57
1115,1630,171.0,78
1116,1660,196.0,76
1117,1050,71.0,81
1118,1500,174.0,68
1119,190,3.0,19
1120,140,3.0,14
1121,240,1.0,26
1122,250,6.0,25
1123,200,13.0,17
1124,200,1.0,22
1125,70,11.0,0
1126,80,9.0,5
1127,180,2.0,19
1128,730,70.0,38
1129,530,30.0,20
1130,1400,151.0,84
1131,1570,57.0,116
1132,660,54.0,35
1133,270,25.0,12
1134,990,108.0,52
1135,690,92.0,33
1136,370,20.0,9
1137,610,78.0,13
1138,480,37.0,17
1139,680,80.0,25
1140,30,4.0,2
1141,1280,121.0,63
1142,310,1.0,15
1143,580,38.0,28
1144,45,3.0,4
1145,760,14.0,49
1146,380,61.0,13
1147,140,34.0,0
1148,1610,139.0,103
1149,180,15.0,11
1150,2210,136.0,144
1151,210,11.0,15
1152,410,22.0,30
1153,390,28.0,25
1154,90,7.0,5
1155,550,62.0,14
1156,260,15.0,7
1157,280,31.0,15
1158,1990,137.0,111
1159,1080,82.0,57
1160,1020,144.0,46
1161,890,51.0,48
1162,530,13.0,27
1163,1540,126.0,88
1164,1310,128.0,65
1165,2170,137.0,123
1166,1140,75.0,63
1167,430,12.0,33
1168,570,67.0,24
1169,470,42.0,24
1170,460,61.0,22
1171,380,19.0,22
1172,530,30.0,42
1173,160,2.0,4
1174,230,21.0,5
1175,340,21.0,15
1176,330,23.0,18
1177,400,24.0,24
1178,500,69.0,18
1179,80,10.0,5
1180,280,48.0,11
1181,150,32.0,2
1182,190,30.0,7
1183,130,22.0,2
1184,35,8.0,0
1185,120,14.0,7
1186,35,9.0,0
1187,190,30.0,7
1188,130,14.0,8
1189,30,6.0,0
1190,1400,90.0,89
1191,480,6.0,50
1192,190,30.0,7
1193,50,8.0,0
1194,1320,126.0,73
1195,1680,166.0,87
1196,2310,168.0,123
1197,1200,91.0,63
1198,1710,147.0,101
1199,60,2.0,6
1200,2290,163.0,139
1201,630,68.0,33
1202,780,81.0,41
1203,150,4.0,8
1204,1010,115.0,45
1205,80,6.0,6
1206,450,31.0,36
1207,230,16.0,18
1208,200,32.0,7
1209,1350,72.0,94
1210,1260,67.0,89
1211,2120,117.0,144
1212,1960,109.0,136
1213,850,51.0,58
1214,810,43.0,54
1215,340,21.0,15
1216,390,33.0,21
1217,1290,128.0,77
1218,560,54.0,32
1219,480,5.0,41
1220,360,62.0,9
1221,690,7.0,53
1222,170,2.0,7
1223,60,1.0,2
1224,120,23.0,1
1225,80,14.0,0
1226,40,8.0,0
1227,190,1.0,8
1228,60,0.0,2
1229,100,0.0,8
1230,100,0.0,8
1231,35,0.0,3
1232,190,1.0,6
1233,60,0.0,2
1234,570,73.0,27
1235,140,18.0,7
1236,130,23.0,3
1237,110,19.0,2
1238,40,8.0,1
1239,60,9.0,2
1240,60,9.0,2
1241,20,4.0,0
1242,5,1.0,0
1243,290,44.0,9
1244,90,13.0,2
1245,90,13.0,2
1246,20,4.0,0
1247,5,1.0,0
1248,15,3.0,0
1249,5,1.0,0
1250,150,8.0,13
1251,50,3.0,4
1252,120,22.0,1
1253,80,14.0,0
1254,40,7.0,0
1255,40,8.0,1
1256,15,3.0,0
1257,80,15.0,1
1258,25,5.0,0
1259,10,2.0,0
1260,5,1.0,0
1261,5,1.0,0
1262,60,13.0,0
1263,60,13.0,0
1264,120,2.0,10
1265,40,1.0,3
1266,190,2.0,6
1267,60,1.0,2
1268,260,12.0,24
1269,220,35.0,8
1270,95,18.0,5
1271,80,15.0,5
1272,130,16.0,7
1273,470,36.0,28
1274,500,48.0,26
1275,150,15.0,10
1276,35,7.0,0
1277,140,24.0,3
1278,740,63.0,38
1279,190,14.0,10
1280,140,19.0,6
1281,35,7.0,0
1282,240,28.0,12
1283,160,20.0,8
1284,5,1.0,0
1285,840,54.0,42
1286,190,24.0,7
1287,110,21.0,2
1288,160,13.0,7
1289,170,17.0,11
1290,200,3.0,11
1291,360,35.0,18
1292,110,3.0,6
1293,330,8.0,23
1294,300,7.0,18
1295,140,37.0,12
1296,280,24.0,12
1297,450,50.0,16
1298,320,12.0,20
1299,360,35.0,18
1300,180,8.0,11
1301,550,50.0,27
1302,140,7.0,7
1303,480,20.0,35
1304,430,17.0,27
1305,500,95.0,14
1306,250,30.0,12
1307,360,90.0,0
1308,270,68.0,0
1309,190,48.0,0
1310,120,6.0,6
1311,0,0.0,0
1312,0,0.0,0
1313,0,0.0,0
1314,330,72.0,2
1315,5,0.0,0
1316,40,1.0,4
1317,190,6.0,3
1318,350,7.0,20
1319,470,470.0,470
1320,550,39.0,32
1321,410,8.0,29
1322,580,10.0,46
1323,240,23.0,15
1324,140,12.0,8
1325,90,8.0,5
1326,270,33.0,8
1327,530,63.0,16
1328,280,4.0,20
1329,150,2.0,10
1330,30,7.0,0
1331,850,138.0,28
1332,1030,158.0,31
1333,1040,144.0,31
1334,1200,145.0,48
1335,150,15.0,9
1336,110,27.0,0
1337,620,81.0,30
1338,530,67.0,26
1339,590,44.0,28
1340,390,29.0,18
1341,340,73.0,2
1342,510,70.0,22
1343,140,140.0,140
1344,330,46.0,13
1345,1320,160.0,51
1346,230,8.0,20
1347,360,12.0,31
1348,710,21.0,63
1349,230,8.0,20
1350,420,13.0,32
1351,820,23.0,65
1352,305,32.0,13
1353,610,64.0,26
1354,60,9.0,0
1355,90,12.0,0
1356,120,17.0,0
1357,100,8.0,5
1358,140,11.0,7
1359,190,15.0,10
1360,320,63.0,2
1361,410,84.0,2
1362,540,111.0,2
1363,380,61.0,11
1364,490,81.0,13
1365,650,108.0,17
1366,125,17.0,0
1367,170,23.0,0
1368,210,29.0,0
1369,200,15.0,11
1370,270,20.0,15
1371,340,25.0,18
1372,190,10.0,14
1373,550,28.0,41
