id,name
2592,Grilled Chicken Strips w/ Teriyaki Dipping Sauce
2593,"Grilled Sandwich, Deli Trio"
2594,Hashbrown Sticks 5 pc.
2595,Hearty Breakfast Bowl
2596,Homestyle Ranch Chicken Club
2597,"Iced Coffee, Caramel (regular) 24 fl oz."
2598,"Iced Coffee, Original (regular) 24 fl oz."
2599,"Iced Coffee, Vanilla (regular) 24 fl oz."
2600,Jack’s Spicy Chicken®
2601,Jack’s Spicy Chicken® w/ Cheese
2602,Jumbo Jack®
2603,Jumbo Jack®
2604,Jumbo Jack® with Cheese
2605,Jumbo Jack® with Cheese
2606,Kona Classic® Coffee (decaf) 12 fl oz.
2607,Kona Classic® Coffee (decaf) 16 fl oz.
2608,Kona Classic® Coffee (regular) 12 fl oz.
2609,Kona Classic® Coffee (regular) 16 fl oz.
2610,Lite Ranch Dressing
2611,Low-Fat Balsamic Vinaigrette
2612,Meaty Breakfast Burrito (no salsa)
2613,Meaty Breakfast Burrito (w/ salsa)
2614,Mini Churros 10 pc.
2615,Mini Churros 5 pc.
2616,Mozzarella Cheese Sticks 3 pc.
2617,Mozzarella Cheese Sticks 6 pc.
2618,New York Style Cheesecake
2619,Onion Rings
2620,Reduced Fat Milk Chug 2%*
2621,Sausage Biscuit
2622,Sausage Breakfast Jack®
2623,Sausage Croissant
2624,"Sausage, Egg & Cheese Biscuit"
2625,Seasoned Curly Fries (Kid’s)
2626,"Seasoned Curly Fries, large"
2627,"Seasoned Curly Fries, medium"
2628,"Seasoned Curly Fries, small"
2629,"Shake, Chocolate w/ Whipped Topping 16 oz."
2630,"Shake, Chocolate w/ Whipped Topping 24 oz."
2631,"Shake, Oreo® Cookie w/ Whipped Topping 16 oz."
2632,"Shake, Oreo® Cookie w/ Whipped Topping 24 oz."
2633,"Shake, Strawberry w/ Whipped Topping 16 oz."
2634,"Shake, Strawberry w/ Whipped Topping 24 oz."
2635,"Shake, Vanilla w/ Whipped Topping 16 oz."
2636,"Shake, Vanilla w/ Whipped Topping 24 oz."
2637,Side Salad
2638,Side Salad**
2639,Side Salad**
2640,Sirloin Cheeseburger
2641,Sirloin Swiss & Grilled Onion Burger
2642,"Smoothie, Mango 16 fl oz."
2643,"Smoothie, Mango 16 oz."
2644,"Smoothie, Mango 24 fl oz."
2645,"Smoothie, Strawberry 16 fl oz."
2646,"Smoothie, Strawberry 16 oz."
2647,"Smoothie, Strawberry 24 fl oz."
2648,"Smoothie, Strawberry Banana 16 fl oz."
2649,"Smoothie, Strawberry Banana 16 oz."
2650,"Smoothie, Strawberry Banana 24 fl oz."
2651,Sourdough Breakfast Sandwich
2652,Sourdough Grilled Chicken Club
2653,Sourdough Jack®
2654,Sourdough Steak Melt
2655,Sourdough Ultimate Cheeseburger™
2656,Southwest Chicken Salad w/ Crispy Chicken Strips**
2657,Southwest Chicken Salad w/ Grilled Chicken Strips**
2658,Spicy Corn Sticks
2659,Steak & Egg Burrito (no salsa)
2660,Steak & Egg Burrito (w/ salsa)
2661,Stuffed Jalapeños 3 pc.
2662,Stuffed Jalapeños 7 pc.
2663,Supreme Croissant
2664,Ultimate Breakfast Sandwich
2665,Ultimate Cheeseburger™
2666,#1 Pepe®
2667,#10 Hunter’s Club®
2668,#11 Country Club®
2669,#12 Beach Club®
2670,#13 Gourmet Veggie Club®
2671,#14 Bootlegger Club®
2672,#15 Club Tuna®
2673,#16 Club Lulu®
2674,#2 Big John®
2675,#3 Totally Tuna®
2676,#4 Turkey Tom®
2677,#4 Turkey Tom®
2678,#5 Vito®
2679,#6 Vegetarian
2680,#8 Billy Club®
2681,#9 Italian Night Club®
2682,BBQ Jimmy Chips
2683,Chocolate Chunk Cookie
2684,Hunter’s Club® Unwich
2685,Iced Tea
2686,Iced Tea
2687,J.J.B.L.T.®
2688,Jalapeño Chips
2689,Lemonade
2690,Lemonade
2691,Light Lemonade
2692,Light Lemonade
2693,"Pickle, Spear"
2694,"Pickle, Whole"
2695,Raisin Oatmeal Cookie
2696,Raspberry Iced Tea
2697,Raspberry Iced Tea
2698,Regular Chips
